system:index,CHILI,EVH,rdnbr,Aspect,Burning.Index,ERC,FM100,FM1000,mTPI,Max Gust,Slope,struccond
452_0,202,11,84.7363902,239.84326,33,47,10.1,13.7,28,35.95999908,9.825027,1
453_0,156,11,853.4105492,7.082907,34,49,9.6,13.8,20,37.90999985,6.9955826,1
454_0,200,10,1056.08117,261.88065,37,53,9.3,12.9,5,37.06999969,34.49269,1
455_0,171,11,-52.5190123,102.65997,54,73,7,8.8,-62,13.07999992,10.118173,1
456_0,203,1,1101.611862,215.06981,61,74,6.2,8.9,55,21.39999962,5.2273054,1
457_0,243,1,863.9214539,215.7239,45,55,8.6,12.3,60,30.75,29.8382,1
458_0,214,1,879.8716985,164.04959,61,75,6.2,8.6,29,15.82999992,24.285915,1
459_0,204,1,1030.123348,161.67767,45,57,8.6,12.1,42,21.01000023,10.1022005,1
460_0,82,11,844.0253999,17.902502,44,57,8.8,12.1,-68,26.22999954,23.591179,1
462_0,205,0,165.8671821,265.55734,46,64,7.2,10.9,43,32.16999817,27.82813,1
464_0,183,1,984.8827339,104.958496,34,49,9.6,13.8,23,37.22999954,3.0427704,1
465_0,187,10,1218.409929,142.32933,43,56,9.2,12,-13,17.73999977,11.053833,1
466_0,194,10,620.7087571,232.5325,43,54,9.4,12.7,72,23.63999939,4.8331227,1
467_0,180,11,1083.636345,297.056,62,76,5.8,8.6,-4,22.71999931,12.146177,1
468_0,172,11,1094.658232,121.853165,41,53,9.5,12.1,99,30.09000015,31.31013,1
469_0,183,0,71.02055742,141.24515,41,53,10.2,12.4,-97,16.21999931,0.8905781,1
471_0,209,1,1060.789262,172.38663,57,73,6.5,9.1,-48,18.60000038,22.757864,1
472_0,173,10,827.8086239,327.97678,55,76,6.6,8.3,99,13.68999958,3.0929682,1
473_0,68,0,967.8632813,7.408572,51,69,6.8,9.9,-59,35.45000076,29.593893,1
474_0,184,9,143.187875,148.03777,53,72,6.8,9.1,26,18.56999969,1.8699793,1
475_0,116,11,1322.409254,38.92862,61,72,6.8,9,0,22.71999931,21.133768,1
476_0,203,11,-261.0822252,142.32448,56,77,6.4,8.4,-23,13.92000008,9.522355,1
477_0,202,1,978.8119735,203.89888,64,83,5.2,7.4,81,26.86999893,5.220451,1
478_0,180,9,548.8227501,284.88998,32,46,10.9,13.5,-22,35.54000092,13.845291,1
479_0,151,11,970.6311722,108.47217,43,58,8.2,11.7,-9,33.54999924,28.344236,1
480_0,107,1,1238.351241,76.070915,59,73,7,8.7,-46,23.96999931,33.06667,1
481_0,198,11,931.3415207,260.67145,45,57,8.6,12.1,2,23.42000008,39.61899,1
482_0,149,10,766.9033657,36.716312,43,55,8.7,12.3,-44,33.20999908,10.636813,1
483_0,230,1,1152.818554,168.082,41,51,10.1,13.2,-1,26.22999954,41.245056,1
484_0,205,11,641.7382745,161.43317,46,56,8.4,12.2,-3,33.80999756,11.817377,1
485_0,221,10,1056.502187,157.5331,61,74,6.4,8.8,71,18.31999969,29.322252,1
486_0,222,9,679.0540565,200.95645,62,76,6.8,8.3,-17,18.27999878,15.735692,1
487_0,238,10,304.3939977,230.55807,44,57,9.1,11.8,-4,29.37999916,31.688131,1
488_0,207,1,821.625299,242.92801,41,54,8.8,12.4,-10,25.14999962,27.326876,1
489_0,105,11,1118.748206,57.42653,41,51,10.1,13.2,27,26.22999954,35.06585,1
490_0,170,11,982.2429715,314.69455,33,47,10.1,13.7,42,36.18000031,6.78954,1
491_0,115,11,642.0436173,11.523463,35,46,11.2,13.4,-138,21.05999947,27.75415,1
492_0,155,10,978.3402166,79.098175,40,54,8.8,12.6,121,29.89999962,12.433611,1
493_0,156,11,877.154317,298.3808,48,62,7.8,10.9,99,34.98999786,30.826878,1
494_0,168,8,564.6696391,17.516304,54,75,6.7,8.6,-97,13.22999954,3.8504732,1
495_0,238,10,860.5041786,173.00629,54,75,6.7,8.5,-45,12.50999928,35.37517,1
497_0,89,11,1654.275313,39.591652,41,56,8.4,12.1,2,30.09000015,23.046291,1
499_0,240,10,1014.504402,191.44804,62,78,6.1,8,109,21,26.743109,1
500_0,249,10,265.4947975,197.5948,55,77,6.4,8.1,29,14.89999962,34.058384,2
501_0,192,9,1124.769787,251.04466,34,46,11.2,13.1,-10,22,6.6521335,2
502_0,107,9,1330.795938,331.51572,45,55,8.6,12.3,45,30.75,29.210838,2
503_0,199,10,952.484988,141.23413,51,62,8.3,10.6,-69,21.22999954,18.833765,2
504_0,184,2,576.5744159,166.82146,38,53,10.1,12.2,-23,29.15999985,3.953902,2
505_0,138,11,762.9935224,72.53034,33,47,10.1,13.7,-18,35.95999908,20.423023,2
507_0,193,11,597.1778515,247.54414,40,57,8.4,12.1,74,32.59000015,6.530033,2
508_0,187,11,307.6218337,138.90227,53,74,6.8,8.7,-2,13.50999928,7.575852,2
509_0,211,9,1015.606153,239.83023,46,59,8.4,11.6,5,25.18999863,14.213257,2
510_0,229,10,-63.38148439,228.14165,56,77,6.4,8.4,17,13.69999981,25.080362,2
513_0,123,10,1223.505726,80.69511,50,68,7,10,43,37.07999802,21.950878,2
514_0,150,11,1274.127429,349.27863,37,53,8.8,13,71,33.72999954,9.861025,2
515_0,128,9,1139.848864,66.85664,45,57,8.6,12.1,6,22.25,18.418922,2
516_0,86,11,637.528284,68.908066,51,62,7.7,10.9,134,32.45000076,31.942291,2
517_0,183,10,514.4335734,125.84999,55,76,6.7,8.3,4,12.36999989,16.60064,2
518_0,175,11,337.667069,94.21583,56,76,6.8,8.1,-17,11.84000015,4.855851,2
520_0,110,11,926.3005562,342.4283,46,60,8.4,11.2,90,20.02999878,22.425697,2
521_0,115,11,812.3993383,107.00807,54,75,6.8,8.4,-14,14.30999947,33.84599,2
523_0,126,10,875.8692491,28.951748,39,50,10.3,12.6,0,17.19000053,8.312928,2
524_0,142,1,854.0755991,324.7672,40,53,10.6,12.1,-29,19,21.626108,2
525_0,195,10,659.0902318,148.81317,53,74,6.8,8.7,-3,13.42999935,7.9395275,2
526_0,113,11,828.0199663,2.780418,46,60,8.4,11.2,82,20.02999878,21.245401,2
527_0,168,4,718.1671895,90.81809,46,62,8,10.4,39,20.53999901,11.122207,2
529_0,192,1,725.276192,150.73051,64,83,5.2,7.4,48,26.86999893,3.78411,2
534_0,125,9,840.5484576,96.0593,40,53,10.4,12.3,-3,21.56999969,28.71856,2
535_0,182,11,1207.189185,281.38315,50,69,7.1,9.7,17,31.38999939,3.968974,2
537_0,74,11,815.6991465,5.631395,34,50,10.3,12.8,-35,23.34000015,27.69803,2
538_0,188,9,1237.886344,137.58315,55,76,6.8,8.3,-4,11.84000015,6.081174,2
539_0,150,11,299.0794458,322.51224,53,72,6.8,9.1,47,19.11999893,15.589004,2
540_0,96,0,793.3320901,325.42282,53,74,6.8,8.7,-53,14.48999977,31.825832,2
541_0,208,10,1148.916832,258.48874,59,70,6.9,9.5,-44,22.94999886,14.606572,2
542_0,233,11,978.9577433,212.93462,61,78,6.6,7.9,-126,23.01000023,22.295383,2
543_0,244,10,1135.138937,229.02869,39,51,10,12.5,-33,24.60000038,37.046642,2
544_0,163,9,1156.463449,28.22388,39,51,10.8,12.8,10,15.75999928,6.4149756,2
545_0,223,11,1226.818899,205.23784,49,66,7.4,10.2,22,37.07999802,14.617424,2
546_0,244,8,875.439797,192.69185,54,76,6.7,8.3,68,13.68999958,27.749596,2
547_0,218,11,1043.45773,162.27731,62,79,5.5,8,99,26.37999916,19.845497,2
