system:index,CHILI,EVH,RdNBR_early,RdNBR_update,comp,diff,Aspect,Burning.Index,ERC,FM100,FM1000,mTPI,max_FRP,Max Gust,Slope,Structural Class,sum_FRP
73_0,186,1,275.3421213,-27.76903172,275.3421213,303.111153,208.08778,39,53,9,12.6,-62,2062.949,28.72999954,1.6614579,1,28920.27936
74_0,97,10,1323.85066,979.1696935,1323.85066,344.6809665,76.34628,56,77,6.4,8.4,15,6567.1606,13.92000008,31.134356,1,160832.0293
75_0,190,10,2103.854134,362.2746895,2103.854134,1741.579445,148.43317,49,63,7.8,10.7,-15,8944.007,22.20999908,4.997159,1,525087.8774
76_0,116,10,1018.542884,748.8889708,1018.542884,269.6539132,316.28403,36,48,10.3,13.3,-19,9778.012,21.05999947,31.261765,1,199334.3763
77_0,189,1,775.0071861,619.2285682,775.0071861,155.7786179,271.20737,47,60,8.2,11.3,9,7795.7393,21.5,36.633694,1,298884.46
78_0,210,10,1616.435809,689.3891207,1616.435809,927.0466883,153.01564,41,53,9.8,12.3,56,9267.19,28.38999939,23.166136,1,773512.469
79_0,20,11,909.1607439,713.4257589,909.1607439,195.734985,50.071327,33,47,10.1,13.7,11,10054.722,35.81999969,41.854176,1,193234.0858
80_0,219,11,844.8789591,-931.424638,844.8789591,1776.303597,246.63225,43,54,9.4,12.7,39,7780.3975,23.42000008,24.275484,1,261285.6555
81_0,128,10,178.8719392,168.6518379,178.8719392,10.2201013,58.964775,41,53,9.6,11.8,-105,4047.4883,22.68999863,21.678122,1,144363.8007
82_0,170,9,679.1456713,1091.91265,1091.91265,-412.7669787,64.86778,54,75,6.7,8.5,5,8555.297,18.84000015,3.9747276,1,746382.1526
83_0,230,10,4157.616524,1205.358354,4157.616524,2952.25817,171.04419,52,71,7.1,9.4,-87,2412.9514,16.55999947,24.099735,1,5846.11676
84_0,185,10,-34.37132469,-32.70132157,-32.70132157,-1.67000312,253.97572,55,77,6.4,8.1,54,2461.5295,14.89999962,1.6360451,1,132157.7218
85_0,170,1,967.2367883,651.6738663,967.2367883,315.562922,41.492,41,53,10.2,12.4,-12,6749.956,18.02000046,20.18558,1,177368.6538
86_0,163,11,1040.440916,648.713977,1040.440916,391.726939,306.44144,59,69,7.5,9.3,9,9731.545,21.77000046,18.74223,1,542327.6436
87_0,164,1,1192.060546,743.5111345,1192.060546,448.5494115,314.44128,39,51,10.8,12.8,-26,9606.4,18.6099987,12.186216,1,497663.9528
88_0,128,1,1244.467961,653.681016,1244.467961,590.786945,352.69046,61,72,6.8,9,32,9427.603,20.79999924,18.093319,1,566920.4847
90_0,209,11,1102.281213,560.363019,1102.281213,541.918194,253.64026,40,51,10.3,13.2,29,6940.6973,26.67000008,20.887434,1,184395.2939
92_0,190,10,902.6536598,490.6520355,902.6536598,412.0016243,146.39922,41,53,9.8,12.3,41,9267.19,28.38999939,32.975216,1,773512.469
93_0,162,1,958.5729488,498.2544608,958.5729488,460.318488,93.48939,61,76,6.8,8.1,28,898.774,20.85000038,19.687225,1,15106.14957
94_0,207,9,751.9820801,750.0162157,751.9820801,1.9658644,156.41663,42,54,9.3,12.5,13,8234.887,19.72999954,19.67392,1,361775.9399
95_0,116,1,826.6408615,443.8206557,826.6408615,382.8202058,346.8661,62,77,6,8.2,-38,8542.786,20.93999863,21.72958,1,184240.4236
96_0,202,10,620.3146958,341.1196274,620.3146958,279.1950684,253.17725,44,58,8.6,11.7,-27,8852.45,30.6799984,32.348183,1,334677.4101
97_0,175,0,480.7162622,768.393244,768.393244,-287.6769818,52.773212,54,75,6.7,8.5,12,8555.297,18.84000015,2.3472044,1,746382.1526
98_0,215,0,662.6064259,151.0836371,662.6064259,511.5227888,194.2608,43,55,8.7,12.3,72,8661.258,29.05999947,52.015713,1,388065.7539
99_0,209,11,976.6586294,836.7027478,976.6586294,139.9558816,253.82625,40,53,10.6,12.1,74,5258.5767,15.05999947,38.36399,1,438076.6129
100_0,175,10,-19.12196297,20.57068682,20.57068682,-39.69264979,105.629585,62,76,6.8,8.3,-36,5416.7104,17.3599987,12.189131,1,269128.0136
101_0,52,11,1033.277182,220.7098173,1033.277182,812.5673647,337.00266,38,50,10.8,12.8,-78,6749.956,17.69999886,29.599205,1,177368.6538
102_0,230,10,875.8693737,500.3669241,875.8693737,375.5024496,187.71803,44,57,9.3,11.6,4,8612.478,24.46999931,17.692627,1,99331.91638
103_0,198,10,855.2864357,569.1844763,855.2864357,286.1019594,140.6286,42,54,9.3,12.5,117,8234.887,17.18000031,24.106651,1,361775.9399
104_0,194,10,809.459512,379.1241928,809.459512,430.3353192,149.90736,46,60,8.1,11.7,-3,8944.007,19.94999886,6.7984266,1,525087.8774
105_0,247,10,757.0283422,519.5580057,757.0283422,237.4703365,205.20308,41,53,8.9,12.7,-29,7017.6133,33.34999847,33.018547,1,351108.7128
106_0,177,1,1008.166551,693.693144,1008.166551,314.473407,102.19966,39,51,10.8,12.8,37,7864.873,16.45999908,7.2451096,1,157335.0035
107_0,167,10,1934.765429,694.0215498,1934.765429,1240.743879,81.22684,65,83,5.7,7.2,29,5040.111,20.26000023,11.561357,1,333830.7317
