"id","metric","value","yr","n_pixels"
1,"area",39.06,2019,2903
2,"area",0.54,2019,2903
3,"area",0.09,2019,2903
4,"area",0.18,2019,2903
5,"area",25.2,2019,2903
6,"area",0.45,2019,2903
7,"area",0.09,2019,2903
8,"area",0.09,2019,2903
9,"area",102.24,2019,2903
10,"area",2.43,2019,2903
11,"area",55.53,2019,2903
12,"area",0.63,2019,2903
13,"area",0.99,2019,2903
14,"area",0.18,2019,2903
15,"area",0.81,2019,2903
16,"area",2.07,2019,2903
17,"area",12.15,2019,2903
18,"area",0.36,2019,2903
19,"area",0.09,2019,2903
20,"area",1.98,2019,2903
21,"area",3.78,2019,2903
22,"area",8.91,2019,2903
23,"area",0.72,2019,2903
24,"area",0.18,2019,2903
25,"area",0.18,2019,2903
26,"area",1.8,2019,2903
27,"area",0.27,2019,2903
28,"area",0.18,2019,2903
29,"area",0.09,2019,2903
