"id","metric","value","yr","n_pixels"
1,"area",0.18,2020,2047497
2,"area",36.63,2020,2047497
3,"area",20.16,2020,2047497
4,"area",0.09,2020,2047497
5,"area",2.07,2020,2047497
6,"area",0.09,2020,2047497
7,"area",0.18,2020,2047497
8,"area",0.09,2020,2047497
9,"area",2.79,2020,2047497
10,"area",0.36,2020,2047497
11,"area",1.53,2020,2047497
12,"area",0.09,2020,2047497
13,"area",0.09,2020,2047497
14,"area",1.53,2020,2047497
15,"area",0.45,2020,2047497
16,"area",0.99,2020,2047497
17,"area",0.09,2020,2047497
18,"area",0.36,2020,2047497
19,"area",1.44,2020,2047497
20,"area",0.63,2020,2047497
21,"area",0.18,2020,2047497
22,"area",0.18,2020,2047497
23,"area",0.09,2020,2047497
24,"area",0.09,2020,2047497
25,"area",10.98,2020,2047497
26,"area",0.18,2020,2047497
27,"area",0.18,2020,2047497
28,"area",0.09,2020,2047497
29,"area",0.09,2020,2047497
30,"area",0.9,2020,2047497
31,"area",0.09,2020,2047497
32,"area",0.09,2020,2047497
33,"area",0.18,2020,2047497
34,"area",0.09,2020,2047497
35,"area",0.18,2020,2047497
36,"area",0.18,2020,2047497
37,"area",0.36,2020,2047497
38,"area",0.18,2020,2047497
39,"area",0.09,2020,2047497
40,"area",1.71,2020,2047497
41,"area",0.27,2020,2047497
42,"area",0.72,2020,2047497
43,"area",0.18,2020,2047497
44,"area",0.09,2020,2047497
45,"area",0.18,2020,2047497
46,"area",0.09,2020,2047497
47,"area",0.45,2020,2047497
48,"area",0.09,2020,2047497
49,"area",1.08,2020,2047497
50,"area",0.54,2020,2047497
51,"area",21.78,2020,2047497
52,"area",0.63,2020,2047497
53,"area",0.45,2020,2047497
54,"area",0.09,2020,2047497
55,"area",0.09,2020,2047497
56,"area",0.18,2020,2047497
57,"area",0.27,2020,2047497
58,"area",0.18,2020,2047497
59,"area",0.09,2020,2047497
60,"area",0.99,2020,2047497
61,"area",0.09,2020,2047497
62,"area",0.72,2020,2047497
63,"area",0.09,2020,2047497
64,"area",3.24,2020,2047497
65,"area",0.09,2020,2047497
66,"area",0.45,2020,2047497
67,"area",1.44,2020,2047497
68,"area",0.09,2020,2047497
69,"area",0.18,2020,2047497
70,"area",0.09,2020,2047497
71,"area",0.18,2020,2047497
72,"area",29.25,2020,2047497
73,"area",0.18,2020,2047497
74,"area",0.18,2020,2047497
75,"area",0.18,2020,2047497
76,"area",0.09,2020,2047497
77,"area",0.09,2020,2047497
78,"area",0.45,2020,2047497
79,"area",0.09,2020,2047497
80,"area",0.09,2020,2047497
81,"area",0.09,2020,2047497
82,"area",0.09,2020,2047497
83,"area",0.09,2020,2047497
84,"area",0.18,2020,2047497
85,"area",0.81,2020,2047497
86,"area",0.09,2020,2047497
87,"area",0.27,2020,2047497
88,"area",1.35,2020,2047497
89,"area",0.09,2020,2047497
90,"area",1.71,2020,2047497
91,"area",0.54,2020,2047497
92,"area",0.18,2020,2047497
93,"area",0.09,2020,2047497
94,"area",1.44,2020,2047497
95,"area",3.33,2020,2047497
96,"area",0.09,2020,2047497
97,"area",0.27,2020,2047497
98,"area",0.9,2020,2047497
99,"area",0.18,2020,2047497
100,"area",0.18,2020,2047497
101,"area",0.09,2020,2047497
102,"area",0.09,2020,2047497
103,"area",0.72,2020,2047497
104,"area",0.09,2020,2047497
105,"area",2.52,2020,2047497
106,"area",1.26,2020,2047497
107,"area",0.45,2020,2047497
108,"area",0.18,2020,2047497
109,"area",0.72,2020,2047497
110,"area",0.18,2020,2047497
111,"area",0.09,2020,2047497
112,"area",30.24,2020,2047497
113,"area",1.08,2020,2047497
114,"area",1.08,2020,2047497
115,"area",0.18,2020,2047497
116,"area",0.09,2020,2047497
117,"area",29518.74,2020,2047497
118,"area",0.45,2020,2047497
119,"area",1.17,2020,2047497
120,"area",0.63,2020,2047497
121,"area",0.09,2020,2047497
122,"area",1170.99,2020,2047497
123,"area",1.08,2020,2047497
124,"area",0.9,2020,2047497
125,"area",0.27,2020,2047497
126,"area",0.09,2020,2047497
127,"area",0.63,2020,2047497
128,"area",0.18,2020,2047497
129,"area",0.09,2020,2047497
130,"area",0.63,2020,2047497
131,"area",0.18,2020,2047497
132,"area",0.45,2020,2047497
133,"area",0.09,2020,2047497
134,"area",0.18,2020,2047497
135,"area",0.09,2020,2047497
136,"area",0.09,2020,2047497
137,"area",0.09,2020,2047497
138,"area",0.27,2020,2047497
139,"area",0.18,2020,2047497
140,"area",0.09,2020,2047497
141,"area",0.09,2020,2047497
142,"area",0.45,2020,2047497
143,"area",0.09,2020,2047497
144,"area",0.09,2020,2047497
145,"area",0.09,2020,2047497
146,"area",0.36,2020,2047497
147,"area",0.54,2020,2047497
148,"area",0.18,2020,2047497
149,"area",0.09,2020,2047497
150,"area",1.26,2020,2047497
151,"area",3.78,2020,2047497
152,"area",0.09,2020,2047497
153,"area",2.7,2020,2047497
154,"area",5.13,2020,2047497
155,"area",0.09,2020,2047497
156,"area",0.09,2020,2047497
157,"area",0.18,2020,2047497
158,"area",0.09,2020,2047497
159,"area",0.45,2020,2047497
160,"area",1.53,2020,2047497
161,"area",0.18,2020,2047497
162,"area",0.54,2020,2047497
163,"area",1.62,2020,2047497
164,"area",0.09,2020,2047497
165,"area",1.08,2020,2047497
166,"area",0.09,2020,2047497
167,"area",5.94,2020,2047497
168,"area",0.09,2020,2047497
169,"area",27.27,2020,2047497
170,"area",0.45,2020,2047497
171,"area",0.09,2020,2047497
172,"area",0.18,2020,2047497
173,"area",0.81,2020,2047497
174,"area",0.27,2020,2047497
175,"area",0.54,2020,2047497
176,"area",1.89,2020,2047497
177,"area",0.18,2020,2047497
178,"area",0.18,2020,2047497
179,"area",0.63,2020,2047497
180,"area",0.27,2020,2047497
181,"area",0.18,2020,2047497
182,"area",0.18,2020,2047497
183,"area",0.09,2020,2047497
184,"area",0.09,2020,2047497
185,"area",1.89,2020,2047497
186,"area",1.17,2020,2047497
187,"area",0.18,2020,2047497
188,"area",0.09,2020,2047497
189,"area",2.61,2020,2047497
190,"area",0.27,2020,2047497
191,"area",0.09,2020,2047497
192,"area",0.09,2020,2047497
193,"area",0.45,2020,2047497
194,"area",0.36,2020,2047497
195,"area",0.09,2020,2047497
196,"area",0.63,2020,2047497
197,"area",0.18,2020,2047497
198,"area",0.09,2020,2047497
199,"area",0.09,2020,2047497
200,"area",1.98,2020,2047497
201,"area",1.08,2020,2047497
202,"area",4.68,2020,2047497
203,"area",0.27,2020,2047497
204,"area",0.18,2020,2047497
205,"area",2.52,2020,2047497
206,"area",0.09,2020,2047497
207,"area",0.09,2020,2047497
208,"area",2.43,2020,2047497
209,"area",0.09,2020,2047497
210,"area",0.54,2020,2047497
211,"area",19.8,2020,2047497
212,"area",111.24,2020,2047497
213,"area",0.18,2020,2047497
214,"area",0.27,2020,2047497
215,"area",0.81,2020,2047497
216,"area",0.36,2020,2047497
217,"area",0.18,2020,2047497
218,"area",0.36,2020,2047497
219,"area",0.63,2020,2047497
220,"area",0.81,2020,2047497
221,"area",0.99,2020,2047497
222,"area",2.34,2020,2047497
223,"area",3.6,2020,2047497
224,"area",0.18,2020,2047497
225,"area",0.63,2020,2047497
226,"area",0.09,2020,2047497
227,"area",1.26,2020,2047497
228,"area",0.36,2020,2047497
229,"area",0.27,2020,2047497
230,"area",0.09,2020,2047497
231,"area",0.63,2020,2047497
232,"area",1.08,2020,2047497
233,"area",0.09,2020,2047497
234,"area",1.98,2020,2047497
235,"area",0.09,2020,2047497
236,"area",0.63,2020,2047497
237,"area",0.09,2020,2047497
238,"area",0.18,2020,2047497
239,"area",0.54,2020,2047497
240,"area",0.09,2020,2047497
241,"area",0.18,2020,2047497
242,"area",0.27,2020,2047497
243,"area",0.09,2020,2047497
244,"area",0.81,2020,2047497
245,"area",0.09,2020,2047497
246,"area",1.89,2020,2047497
247,"area",0.18,2020,2047497
248,"area",0.09,2020,2047497
249,"area",0.09,2020,2047497
250,"area",0.09,2020,2047497
251,"area",0.54,2020,2047497
252,"area",0.54,2020,2047497
253,"area",1.53,2020,2047497
254,"area",0.09,2020,2047497
