"id","metric","value","yr","n_pixels"
1,"area",10.26,2016,8290
2,"area",57.69,2016,8290
3,"area",0.18,2016,8290
4,"area",0.18,2016,8290
5,"area",0.27,2016,8290
6,"area",1.26,2016,8290
7,"area",0.18,2016,8290
8,"area",0.09,2016,8290
9,"area",4.32,2016,8290
10,"area",8.82,2016,8290
11,"area",0.09,2016,8290
12,"area",0.36,2016,8290
13,"area",0.36,2016,8290
14,"area",4.41,2016,8290
15,"area",101.88,2016,8290
16,"area",0.18,2016,8290
17,"area",0.54,2016,8290
18,"area",0.27,2016,8290
19,"area",0.18,2016,8290
20,"area",0.18,2016,8290
21,"area",0.09,2016,8290
22,"area",0.09,2016,8290
23,"area",0.36,2016,8290
24,"area",0.09,2016,8290
25,"area",0.63,2016,8290
26,"area",0.09,2016,8290
27,"area",0.09,2016,8290
28,"area",0.09,2016,8290
29,"area",0.09,2016,8290
30,"area",0.81,2016,8290
31,"area",89.64,2016,8290
32,"area",0.9,2016,8290
33,"area",0.09,2016,8290
34,"area",0.09,2016,8290
35,"area",0.18,2016,8290
36,"area",0.27,2016,8290
37,"area",0.09,2016,8290
38,"area",15.39,2016,8290
39,"area",3.78,2016,8290
40,"area",83.52,2016,8290
41,"area",0.27,2016,8290
42,"area",0.63,2016,8290
43,"area",0.72,2016,8290
44,"area",0.18,2016,8290
45,"area",0.36,2016,8290
46,"area",0.36,2016,8290
47,"area",0.27,2016,8290
48,"area",0.09,2016,8290
49,"area",0.09,2016,8290
50,"area",1.17,2016,8290
51,"area",0.09,2016,8290
52,"area",0.18,2016,8290
53,"area",5.58,2016,8290
54,"area",5.94,2016,8290
55,"area",0.09,2016,8290
56,"area",0.45,2016,8290
57,"area",0.18,2016,8290
58,"area",0.09,2016,8290
59,"area",0.36,2016,8290
60,"area",0.27,2016,8290
61,"area",0.36,2016,8290
62,"area",0.36,2016,8290
63,"area",0.9,2016,8290
64,"area",0.27,2016,8290
65,"area",0.36,2016,8290
66,"area",0.99,2016,8290
67,"area",0.18,2016,8290
68,"area",3.33,2016,8290
69,"area",0.18,2016,8290
70,"area",0.09,2016,8290
71,"area",0.63,2016,8290
72,"area",0.36,2016,8290
73,"area",0.09,2016,8290
74,"area",0.09,2016,8290
75,"area",0.72,2016,8290
76,"area",0.09,2016,8290
77,"area",1.53,2016,8290
78,"area",0.09,2016,8290
79,"area",0.09,2016,8290
80,"area",0.09,2016,8290
81,"area",0.09,2016,8290
82,"area",0.45,2016,8290
83,"area",0.27,2016,8290
84,"area",0.36,2016,8290
85,"area",0.63,2016,8290
86,"area",4.14,2016,8290
87,"area",0.45,2016,8290
88,"area",0.09,2016,8290
89,"area",0.45,2016,8290
90,"area",1.8,2016,8290
91,"area",0.27,2016,8290
92,"area",297.72,2016,8290
93,"area",0.09,2016,8290
94,"area",0.54,2016,8290
95,"area",0.09,2016,8290
96,"area",0.9,2016,8290
97,"area",0.36,2016,8290
98,"area",0.09,2016,8290
99,"area",0.36,2016,8290
100,"area",0.45,2016,8290
101,"area",0.45,2016,8290
102,"area",0.18,2016,8290
103,"area",0.09,2016,8290
104,"area",0.27,2016,8290
105,"area",0.63,2016,8290
106,"area",0.09,2016,8290
107,"area",0.18,2016,8290
108,"area",1.53,2016,8290
109,"area",0.09,2016,8290
110,"area",2.79,2016,8290
111,"area",1.98,2016,8290
112,"area",0.45,2016,8290
113,"area",0.18,2016,8290
114,"area",0.09,2016,8290
115,"area",0.54,2016,8290
116,"area",0.18,2016,8290
117,"area",3.33,2016,8290
118,"area",0.09,2016,8290
119,"area",0.63,2016,8290
120,"area",0.09,2016,8290
121,"area",0.36,2016,8290
122,"area",0.09,2016,8290
123,"area",0.09,2016,8290
124,"area",0.18,2016,8290
125,"area",0.09,2016,8290
126,"area",0.09,2016,8290
127,"area",0.09,2016,8290
128,"area",0.27,2016,8290
129,"area",0.09,2016,8290
130,"area",0.81,2016,8290
131,"area",0.36,2016,8290
132,"area",0.09,2016,8290
133,"area",2.43,2016,8290
134,"area",0.54,2016,8290
135,"area",0.81,2016,8290
