"id","metric","value","yr","n_pixels"
1,"area",0.45,1987,25587
2,"area",0.09,1987,25587
3,"area",0.36,1987,25587
4,"area",0.81,1987,25587
5,"area",126.63,1987,25587
6,"area",0.27,1987,25587
7,"area",0.09,1987,25587
8,"area",0.18,1987,25587
9,"area",1.44,1987,25587
10,"area",0.09,1987,25587
11,"area",0.18,1987,25587
12,"area",0.09,1987,25587
13,"area",0.27,1987,25587
14,"area",0.45,1987,25587
15,"area",0.18,1987,25587
16,"area",8.19,1987,25587
17,"area",0.72,1987,25587
18,"area",0.09,1987,25587
19,"area",0.09,1987,25587
20,"area",4.23,1987,25587
21,"area",0.45,1987,25587
22,"area",0.99,1987,25587
23,"area",0.18,1987,25587
24,"area",0.18,1987,25587
25,"area",0.9,1987,25587
26,"area",0.18,1987,25587
27,"area",9,1987,25587
28,"area",0.09,1987,25587
29,"area",15.3,1987,25587
30,"area",0.09,1987,25587
31,"area",0.09,1987,25587
32,"area",0.09,1987,25587
33,"area",2.43,1987,25587
34,"area",579.51,1987,25587
35,"area",0.09,1987,25587
36,"area",0.36,1987,25587
37,"area",0.27,1987,25587
38,"area",0.63,1987,25587
39,"area",0.36,1987,25587
40,"area",4.68,1987,25587
41,"area",0.09,1987,25587
42,"area",1.62,1987,25587
43,"area",0.09,1987,25587
44,"area",0.45,1987,25587
45,"area",0.09,1987,25587
46,"area",0.9,1987,25587
47,"area",0.45,1987,25587
48,"area",7.65,1987,25587
49,"area",0.09,1987,25587
50,"area",0.63,1987,25587
51,"area",0.18,1987,25587
52,"area",0.09,1987,25587
53,"area",0.09,1987,25587
54,"area",0.09,1987,25587
55,"area",0.18,1987,25587
56,"area",0.18,1987,25587
57,"area",0.09,1987,25587
58,"area",0.18,1987,25587
59,"area",0.36,1987,25587
60,"area",14.58,1987,25587
61,"area",0.09,1987,25587
62,"area",4.5,1987,25587
63,"area",0.18,1987,25587
64,"area",5.4,1987,25587
65,"area",0.09,1987,25587
66,"area",3.78,1987,25587
67,"area",0.09,1987,25587
68,"area",0.54,1987,25587
69,"area",0.18,1987,25587
70,"area",4.68,1987,25587
71,"area",0.09,1987,25587
72,"area",0.18,1987,25587
73,"area",2.25,1987,25587
74,"area",0.36,1987,25587
75,"area",0.27,1987,25587
76,"area",0.9,1987,25587
77,"area",0.18,1987,25587
78,"area",0.27,1987,25587
79,"area",1.53,1987,25587
80,"area",0.09,1987,25587
81,"area",0.09,1987,25587
82,"area",1.17,1987,25587
83,"area",0.9,1987,25587
84,"area",0.09,1987,25587
