"id","metric","value","yr","n_pixels"
1,"area",6.39,1990,1448
2,"area",0.09,1990,1448
3,"area",3.87,1990,1448
4,"area",0.09,1990,1448
5,"area",0.09,1990,1448
6,"area",0.27,1990,1448
7,"area",3.24,1990,1448
8,"area",0.36,1990,1448
9,"area",0.36,1990,1448
10,"area",0.18,1990,1448
11,"area",0.18,1990,1448
12,"area",0.09,1990,1448
13,"area",0.27,1990,1448
14,"area",6.48,1990,1448
15,"area",0.45,1990,1448
16,"area",0.09,1990,1448
17,"area",37.17,1990,1448
18,"area",1.53,1990,1448
19,"area",0.81,1990,1448
20,"area",0.36,1990,1448
21,"area",0.63,1990,1448
22,"area",0.09,1990,1448
23,"area",2.34,1990,1448
24,"area",0.27,1990,1448
25,"area",0.36,1990,1448
26,"area",0.18,1990,1448
27,"area",0.09,1990,1448
28,"area",13.68,1990,1448
29,"area",0.09,1990,1448
30,"area",0.45,1990,1448
31,"area",0.36,1990,1448
32,"area",6.48,1990,1448
33,"area",0.09,1990,1448
34,"area",0.09,1990,1448
35,"area",0.09,1990,1448
36,"area",0.18,1990,1448
37,"area",0.09,1990,1448
38,"area",0.18,1990,1448
39,"area",0.09,1990,1448
40,"area",0.18,1990,1448
41,"area",1.08,1990,1448
42,"area",0.09,1990,1448
43,"area",0.63,1990,1448
44,"area",0.09,1990,1448
45,"area",33.93,1990,1448
46,"area",0.09,1990,1448
47,"area",0.36,1990,1448
48,"area",0.09,1990,1448
49,"area",0.81,1990,1448
50,"area",0.81,1990,1448
51,"area",0.27,1990,1448
52,"area",0.09,1990,1448
53,"area",0.09,1990,1448
54,"area",0.27,1990,1448
55,"area",0.09,1990,1448
56,"area",2.07,1990,1448
57,"area",0.27,1990,1448
58,"area",0.09,1990,1448
59,"area",0.09,1990,1448
60,"area",0.36,1990,1448
61,"area",0.09,1990,1448
62,"area",0.09,1990,1448
63,"area",0.09,1990,1448
