"id","metric","value","yr","n_pixels"
1,"area",0.09,2013,8288
2,"area",0.09,2013,8288
3,"area",0.09,2013,8288
4,"area",6.66,2013,8288
5,"area",0.09,2013,8288
6,"area",0.18,2013,8288
7,"area",0.45,2013,8288
8,"area",0.18,2013,8288
9,"area",0.36,2013,8288
10,"area",2.07,2013,8288
11,"area",0.09,2013,8288
12,"area",0.63,2013,8288
13,"area",0.09,2013,8288
14,"area",0.09,2013,8288
15,"area",2.43,2013,8288
16,"area",0.27,2013,8288
17,"area",2.25,2013,8288
18,"area",1.71,2013,8288
19,"area",3.6,2013,8288
20,"area",0.18,2013,8288
21,"area",0.09,2013,8288
22,"area",0.27,2013,8288
23,"area",3.87,2013,8288
24,"area",1.44,2013,8288
25,"area",8.37,2013,8288
26,"area",1.89,2013,8288
27,"area",0.18,2013,8288
28,"area",0.72,2013,8288
29,"area",0.09,2013,8288
30,"area",0.09,2013,8288
31,"area",4.86,2013,8288
32,"area",0.09,2013,8288
33,"area",0.09,2013,8288
34,"area",172.26,2013,8288
35,"area",0.36,2013,8288
36,"area",1.17,2013,8288
37,"area",0.09,2013,8288
38,"area",0.54,2013,8288
39,"area",8.1,2013,8288
40,"area",0.09,2013,8288
41,"area",0.45,2013,8288
42,"area",0.45,2013,8288
43,"area",0.09,2013,8288
44,"area",0.09,2013,8288
45,"area",0.09,2013,8288
46,"area",0.09,2013,8288
47,"area",0.18,2013,8288
48,"area",0.18,2013,8288
49,"area",0.09,2013,8288
50,"area",12.96,2013,8288
51,"area",0.18,2013,8288
52,"area",0.9,2013,8288
53,"area",0.09,2013,8288
54,"area",0.36,2013,8288
55,"area",0.18,2013,8288
56,"area",1.26,2013,8288
57,"area",0.72,2013,8288
58,"area",0.09,2013,8288
59,"area",0.54,2013,8288
60,"area",0.72,2013,8288
61,"area",0.09,2013,8288
62,"area",0.18,2013,8288
63,"area",0.36,2013,8288
64,"area",0.09,2013,8288
65,"area",0.09,2013,8288
66,"area",0.09,2013,8288
67,"area",0.09,2013,8288
68,"area",0.09,2013,8288
69,"area",0.27,2013,8288
70,"area",0.18,2013,8288
71,"area",1.98,2013,8288
72,"area",3.42,2013,8288
73,"area",0.09,2013,8288
74,"area",1.08,2013,8288
75,"area",0.36,2013,8288
76,"area",0.09,2013,8288
77,"area",59.22,2013,8288
78,"area",15.03,2013,8288
79,"area",166.5,2013,8288
80,"area",0.09,2013,8288
81,"area",2.61,2013,8288
82,"area",0.27,2013,8288
83,"area",1.17,2013,8288
84,"area",0.27,2013,8288
85,"area",0.18,2013,8288
86,"area",0.09,2013,8288
87,"area",0.09,2013,8288
88,"area",0.18,2013,8288
89,"area",0.09,2013,8288
90,"area",0.09,2013,8288
91,"area",0.72,2013,8288
92,"area",0.18,2013,8288
93,"area",0.18,2013,8288
94,"area",2.61,2013,8288
95,"area",0.09,2013,8288
96,"area",0.18,2013,8288
97,"area",2.07,2013,8288
98,"area",0.27,2013,8288
99,"area",0.18,2013,8288
100,"area",0.09,2013,8288
101,"area",0.09,2013,8288
102,"area",2.34,2013,8288
103,"area",0.18,2013,8288
104,"area",0.18,2013,8288
105,"area",0.09,2013,8288
106,"area",0.81,2013,8288
107,"area",1.08,2013,8288
108,"area",0.18,2013,8288
109,"area",0.27,2013,8288
110,"area",0.99,2013,8288
111,"area",0.99,2013,8288
112,"area",0.09,2013,8288
113,"area",0.63,2013,8288
114,"area",0.09,2013,8288
115,"area",8.91,2013,8288
116,"area",0.27,2013,8288
117,"area",4.68,2013,8288
118,"area",0.09,2013,8288
119,"area",0.09,2013,8288
120,"area",0.09,2013,8288
121,"area",0.18,2013,8288
122,"area",0.09,2013,8288
123,"area",0.45,2013,8288
124,"area",14.31,2013,8288
125,"area",3.69,2013,8288
126,"area",1.89,2013,8288
127,"area",0.09,2013,8288
128,"area",0.54,2013,8288
129,"area",0.45,2013,8288
130,"area",2.16,2013,8288
131,"area",0.09,2013,8288
132,"area",0.09,2013,8288
133,"area",0.63,2013,8288
134,"area",5.13,2013,8288
135,"area",0.18,2013,8288
136,"area",0.09,2013,8288
137,"area",0.09,2013,8288
138,"area",0.09,2013,8288
139,"area",0.09,2013,8288
140,"area",0.36,2013,8288
141,"area",0.09,2013,8288
142,"area",0.09,2013,8288
143,"area",0.09,2013,8288
144,"area",0.18,2013,8288
145,"area",0.09,2013,8288
146,"area",0.09,2013,8288
147,"area",0.54,2013,8288
148,"area",0.36,2013,8288
149,"area",0.09,2013,8288
150,"area",0.18,2013,8288
151,"area",0.09,2013,8288
152,"area",0.54,2013,8288
153,"area",0.09,2013,8288
154,"area",1.17,2013,8288
155,"area",0.27,2013,8288
156,"area",0.81,2013,8288
157,"area",0.09,2013,8288
158,"area",0.63,2013,8288
159,"area",0.18,2013,8288
160,"area",1.44,2013,8288
161,"area",0.18,2013,8288
162,"area",0.09,2013,8288
163,"area",0.09,2013,8288
164,"area",1.44,2013,8288
165,"area",0.09,2013,8288
166,"area",0.81,2013,8288
167,"area",0.09,2013,8288
168,"area",0.18,2013,8288
169,"area",0.18,2013,8288
170,"area",0.09,2013,8288
171,"area",0.09,2013,8288
172,"area",0.63,2013,8288
173,"area",0.09,2013,8288
174,"area",0.81,2013,8288
175,"area",1.08,2013,8288
176,"area",0.63,2013,8288
177,"area",0.63,2013,8288
178,"area",0.36,2013,8288
179,"area",0.09,2013,8288
180,"area",0.09,2013,8288
181,"area",1.08,2013,8288
182,"area",0.18,2013,8288
183,"area",1.26,2013,8288
184,"area",0.09,2013,8288
185,"area",2.97,2013,8288
186,"area",0.81,2013,8288
187,"area",0.09,2013,8288
188,"area",2.25,2013,8288
189,"area",0.54,2013,8288
190,"area",20.88,2013,8288
191,"area",0.63,2013,8288
192,"area",0.09,2013,8288
193,"area",0.09,2013,8288
194,"area",2.43,2013,8288
195,"area",20.7,2013,8288
196,"area",0.18,2013,8288
197,"area",0.99,2013,8288
198,"area",1.62,2013,8288
199,"area",0.36,2013,8288
200,"area",0.18,2013,8288
201,"area",0.18,2013,8288
202,"area",0.09,2013,8288
203,"area",0.27,2013,8288
204,"area",0.09,2013,8288
205,"area",0.09,2013,8288
206,"area",0.54,2013,8288
207,"area",0.09,2013,8288
208,"area",0.09,2013,8288
209,"area",0.27,2013,8288
210,"area",0.09,2013,8288
211,"area",0.09,2013,8288
212,"area",1.35,2013,8288
213,"area",0.09,2013,8288
