"id","metric","value","yr","n_pixels"
1,"area",0.09,1985,1136
2,"area",1.08,1985,1136
3,"area",0.63,1985,1136
4,"area",0.09,1985,1136
5,"area",0.27,1985,1136
6,"area",0.18,1985,1136
7,"area",0.09,1985,1136
8,"area",4.68,1985,1136
9,"area",0.36,1985,1136
10,"area",0.09,1985,1136
11,"area",0.09,1985,1136
12,"area",23.67,1985,1136
13,"area",0.54,1985,1136
14,"area",0.18,1985,1136
15,"area",0.09,1985,1136
16,"area",29.52,1985,1136
17,"area",12.51,1985,1136
18,"area",0.09,1985,1136
19,"area",0.09,1985,1136
20,"area",2.52,1985,1136
21,"area",1.53,1985,1136
22,"area",3.78,1985,1136
23,"area",16.02,1985,1136
24,"area",0.63,1985,1136
25,"area",0.09,1985,1136
26,"area",0.09,1985,1136
27,"area",0.09,1985,1136
28,"area",0.09,1985,1136
29,"area",0.18,1985,1136
30,"area",0.9,1985,1136
31,"area",0.27,1985,1136
32,"area",1.08,1985,1136
33,"area",0.09,1985,1136
34,"area",0.54,1985,1136
