"id","metric","value","yr","n_pixels"
1,"area",0.81,1999,1912
2,"area",0.09,1999,1912
3,"area",2.52,1999,1912
4,"area",0.54,1999,1912
5,"area",4.68,1999,1912
6,"area",0.09,1999,1912
7,"area",31.23,1999,1912
8,"area",14.49,1999,1912
9,"area",0.36,1999,1912
10,"area",8.55,1999,1912
11,"area",0.18,1999,1912
12,"area",101.52,1999,1912
13,"area",1.26,1999,1912
14,"area",2.07,1999,1912
15,"area",2.7,1999,1912
16,"area",0.27,1999,1912
17,"area",0.27,1999,1912
18,"area",0.45,1999,1912
